№,Полное наименование кладбищ,Адрес,Район города,Руководитель,Телефон,Факс,Режим работы,Примечания
1,Богословское,"195271, Санкт Петербург, пр.Мечникова, д.31",КАЛИНИНСКИЙ,"ООО «АЛЬЯНС»
195271, Санкт-Петербург,                пр. Мечникова. д.31, лит. А. 
Директор Зайко
Владимир Андреевич
",544-75-23,544-75-23,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь            с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
2,Ковалевское кладбище,"188640,
Ленинградская обл., Всеволожский район, платформа Ковалево",ВСЕВОЛОЖСКИЙ,"ООО «РИТЭК» 
195027, Санкт-Петербург,          пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович
",956-07-74,956-07-74,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь             с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
3,Южное ,"196140,
Санкт-Петербург, Волхонское шосссе,дом 1 ",МОСКОВСКИЙ,"ООО «Виалин»
196140, Санкт-петербург, шоссе Волхонское, д.1, лит. Б.
Генеральный директор Киселев
Александр Рэмович
",749-85-80,749-85-80,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище традиционного способа погребения безвозмездно предоставляются участки земли для погребения
4,Никольское кладбище,"191167,
Санкт-Петербург, наб. р. Монастырки, д. 1, литера А",ЦЕНТРАЛЬНЫЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",274-29-52,274-29-52,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",историко-мемориальное безвозмездно предоставляются участки земли для погребения
5,Комм. Площадка Александро-Невской лавры,"191167, 
Санкт-Петербург, наб.р. Монастырки, д. 1, литера В",ЦЕНТРАЛЬНЫЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",274-29-52,274-29-52,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь                с 9 до 18 часов.
Выходной день -              1 января.
","общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации
"
6,Северное ,"194362,
Санкт-Петербург, Северное кладбище, д.1",ВЫБОРГСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",594-86-26,594-86-26,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь                с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
7,Шуваловское  ,"194356,
Санкт-Петербург, Выборгское шоссе, д.108, корп.3",ВЫБОРГСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",520-18-96,520-18-96,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
8,"Воинское кладбище ""Дом Лесника""","188640,
Санкт-Петербург, дор.в Каменку, д.37",ВЫБОРГСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",594-86-26,594-86-26,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
9,"Воинское кладбище ""Лесотехническая академия""","194021,
Санкт-Петербург, Институтский пер., д.5, корп.15",ВЫБОРГСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",594-86-26,594-86-26,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
10,"Воинское кладбище ""Осиновая роща""","194362,
Санкт-петербург, Песочное шоссе, д.35",ВЫБОРГСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",594-86-26,594-86-26,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
11,"Воинское кладбище ""Сосновка""","194214,
Санкт-петербург, ул. Жака Дюкло, д.40",ВЫБОРГСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",594-86-26,594-86-26,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь                 с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
12,"Воинское кладбище ""Каменка""","194017,
Санкт-Петербург, Большая Каменка, д.1, корп.3",ПРИМОРСКИЙ,"ООО «СИЭМ»
194294, Санкт-Петербург,             п. Парголово, территория северное кладбище, д.1,            лит. А.
Директор Кириллов
Сергей Александрович
",594-86-26,594-86-26,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь              с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
13,Серафимовское кладбище,"197183,
Санкт-Петербург, Заусадебная улица, дом 33",ПРИМОРСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,    
ул. Заусадебная, д.33.

","430-31-51
430-30-44","430-31-51
430-30-44","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
14,Лахтинское кладбище,"197229,
Санкт-Петербург, Лахта, улица Красных Партизан, дом 16",ПРИМОРСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
15,Смоленское Лютеранское,"199178,
Санкт-Петербург, наб.р.Смоленки, д.27",ВАСИЛЕОСТРОВСКИЙ,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич
",321-99-93,321-99-93,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь     с 9 до 18 часов.
Выходной день -              1 января.
",историко-мемориальное безвозмездно предоставляются участки земли для погребения
16,Смоленское Православное,"199178,
Санкт-Петербург, Камская ул., д.26",ВАСИЛЕОСТРОВСКИЙ,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич
",321-99-93,321-99-93,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь            с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
17,Остров Декабристов,"199155,
Санкт-Петербург, пр.КИМа, д.2, литера А",ВАСИЛЕОСТРОВСКИЙ,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич
",321-99-93,321-99-93,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
18,Армяно-Григорианское ,"199178,
Санкт-Петербург, наб.р.Смоленки, д.29",ВАСИЛЕОСТРОВСКИЙ,"ООО «Собор»
198188, Санкт-Петербург, ул.Маршала Говорова, д.29, лит.А, пом. 1-Н. 
Директор Казаков Петр Витальевич
",321-99-93,321-99-93,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь            с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
19,Большеохтинское  ,"195027,
Санкт-Петербург, пр.Металлистов, д.5",КРАСНОГВАРДЕЙСКИЙ,"ООО «РИТЭК» 
195027, Санкт-Петербург,          пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович
",224-27-29,224-27-29,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
20,Малоохтинское  ,"195112,
Санкт-Петербург, Новочеркасский пр., д.12, корп.3",КРАСНОГВАРДЕЙСКИЙ,"ООО «РИТЭК» 
195027, Санкт-Петербург,          пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович
",528-67-70,528-67-70,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
","общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации
"
21,Пороховское  ,"195043,
Санкт-Петербург, Рябовское шоссе, д.78",КРАСНОГВАРДЕЙСКИЙ,"ООО «РИТЭК» 
195027, Санкт-Петербург,          пр. Металистов, д.5, лит. А.
Генеральный директор Фадеев Сергей Станиславович
",224-27-29,224-27-29,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
22,Красненькое   ,"198207,
Санкт-Петербург, пр.Стачек, д.98",КИРОВСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
23,Южное воинское  ,"198152,
Санкт-Петербург, Краснопутиловская ул., у ТЭЦ-15",КИРОВСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
24,Красносельское,"198320,
Санкт-Петербург, 
г. Красное село,
 пр. Ленина, д.84, корп.2",КРАСНОСЕЛЬСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
25,Старо-Паново,"198205,
Санкт-Петербург, Красная ул., д.34",КРАСНОСЕЛЬСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
26,Гореловское кладбище,"198323,
Ленинградская обл., пос. Горелово",КРАСНОСЕЛЬСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
27," Воинское кладбище ""Володарское""  ","198218,
Санкт-Петербург,
Володарский",КРАСНОСЕЛЬСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
28,"Воинское кладбище ""Дачное""                                ","198217,
Санкт-Петербург, пр.Народного Ополчения",КРАСНОСЕЛЬСКИЙ,"ООО «Похоронный Дом «Юго-Запад»
198207, Санкт-Петербург, пр. Стачек, д.98, лит. А.
Генеральный директор Разов
Андрей Александрович
","783-24-81
783-30-30
","783-24-81
783-30-30
","Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
29,Киновеевское  ,"193091,
Санкт-Петербург, Октябрьская наб. д.16, корпус 3",НЕВСКИЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",587-94-14,587-94-14,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
30,Казанское  ,"192177,
Санкт- Петербург,ул. Караваевская, д.16",НЕВСКИЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",587-94-14,587-94-14,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
","общественное кладбище безвозмездно предоставляются участки земли
для погребения, с захоронениями после кремации
"
31,Невское воинское  ,"193230,
Санкт-Петербург, Дальневосточный пр., д. 53",НЕВСКИЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",587-94-14,587-94-14,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
32,Памяти Жертв 9-Января кладбище,"192174,
Санкт-Петербург, пр. Александровской Фермы, д.16",НЕВСКИЙ,"ООО «Ритуал»
192007,Санкт-Петербург, ул.Камчатская, д.9.
Генеральный директор Боринов Станислав Анатольевич.
",367-41-65,367-41-65,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
33,Новодевичье,"
196084,
Санкт-Петербург, Московский пр. д.100, корп.2",МОСКОВСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",историко-мемориальное безвозмездно предоставляются участки земли для погребения
34,"Воинское кладбище ""Чесменское""","196135,
Санкт-Петербург, ул. Ленсовета, д.12,  корп.2",МОСКОВСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
35,Громовское  - Старообрядческое,"196084,
Санкт-Петербург, Ялтинская ул., дом 3",МОСКОВСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
36," Воинское кладбище ""Аэропорт""","196210,
Санкт-Петербург, Штурманская улица, д.32",МОСКОВСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
37," Воинское кладбище ""Пулковское "" ","196140,
Санкт-Петербург, Пулковское шоссе, д.61 корп.2",МОСКОВСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
38," Воинское кладбище ""Высота Меридиан""","196140,
Санкт-Петербург, Пулковское шоссе, д.61 корп.3",МОСКОВСКИЙ,"ООО «АГРА»
197183, Санкт-Петербург,              ул. Заусадебная, д.33.
Генеральный директор
Бильмак
Игорь Анатольевич
",387-32-72,387-32-72,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",военное мемориальное безвозмездно предоставляются участки земли для погребения
39,Ново-Волковское кладбище,"192102,
Санкт-Петербург, ул. Салова, д.80",ФРУНЗЕНСКИЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",705-34-19,705-34-19,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
40,Волковское Лютеранское кладбище,"192102,
Санкт-Петербург, наб. р. Волковки, д.1",ФРУНЗЕНСКИЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",766-33-34,766-33-34,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
41,Волковское Православное кладбище,"192007,
Санкт-Петербург, Расстанный проезд, д.3",ФРУНЗЕНСКИЙ,"ООО «ОНИКС»
192007, Санкт-Петербург, проезд Росстанный, д.3.
Генеральный директор Шутов
Олег Николаевич
",766-04-00,766-04-00,"Кладбища ежедневно открыты для посещений, захоронений и оформления заказов 
с октября по апрель         с 9 до 17 часов, 
с мая по сентябрь               с 9 до 18 часов.
Выходной день -              1 января.
",общественное кладбище смешанного способа погребения безвозмездно предоставляются участки земли для погребения
